Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,End_time,TargetLocation
599956,0,635665,1296000,1,,,,,,,,
599956,0,490041,1306507,1,,,,,,,,
599956,0,490041,1312679,1,,,,,,,,
490041,0,599956,1314435,1,,,,,,,,
490041,0,599956,1331859,1,,,,,,,,
490041,0,635665,1350583,1,,,,,,,,
599956,0,635665,1368949,1,,,,,,,,
490041,0,599956,1390083,1,,,,,,,,
599956,0,589639,1437564,1,,,,,,,,
599956,0,589639,1565941,1,,,,,,,,
599956,0,635665,1576780,1,,,,,,,,
490041,0,589639,1598371,1,,,,,,,,
490041,0,635665,1617847,1,,,,,,,,
599956,0,490041,1631939,1,,,,,,,,
599956,0,635665,1662551,1,,,,,,,,
490041,0,635665,1663236,1,,,,,,,,
599956,0,589639,1674446,1,,,,,,,,
599956,0,635665,1689032,1,,,,,,,,
599956,0,589639,1692550,1,,,,,,,,
599956,0,635665,1693300,1,,,,,,,,
490041,0,599956,1773043,1,,,,,,,,
490041,0,589639,1812906,1,,,,,,,,
490041,0,599956,1815837,1,,,,,,,,
490041,0,589639,1830106,1,,,,,,,,
599956,0,635665,1847895,1,,,,,,,,
490041,0,599956,1869418,1,,,,,,,,
533140,0,591682,2300427,1,,,,,,,,
568093,0,616050,2720925,1,,,,,,,,
568093,0,632150,3838156,1,,,,,,,,
533140,0,464459,4130014,1,,,,,,,,
533140,0,616050,4201266,1,,,,,,,,
533140,0,616050,4333271,1,,,,,,,,
568093,0,533140,4812138,1,,,,,,,,
635665,0,512397,5288962,1,,,,,,,,
635665,0,550287,5626655,1,,,,,,,,
512397,0,635665,5717144,1,,,,,,,,
635665,0,559657,5739273,1,,,,,,,,
635665,0,616050,5895251,1,,,,,,,,
512397,0,635665,6064497,1,,,,,,,,
635665,0,550287,6147265,1,,,,,,,,
635665,0,512397,6186726,1,,,,,,,,
533140,0,591682,6360806,1,,,,,,,,
568093,0,464459,6508928,1,,,,,,,,
635665,0,512397,6571211,1,,,,,,,,
635665,0,559657,6714914,1,,,,,,,,
568093,0,632150,7035286,1,,,,,,,,
635665,0,559657,7083468,1,,,,,,,,
635665,0,559657,7094212,1,,,,,,,,
512397,0,635665,7168878,1,,,,,,,,
635665,0,559657,7491939,1,,,,,,,,
635665,0,512397,7575721,1,,,,,,,,
533140,0,464459,7649729,1,,,,,,,,
533140,0,464459,7848257,1,,,,,,,,
635665,0,512397,8102731,1,,,,,,,,
512397,0,635665,8272124,1,,,,,,,,
623295,0,635665,8290018,1,,,,,,,,
599956,0,570411,8356067,1,,,,,,,,
589639,0,635665,8358490,1,,,,,,,,
550287,0,512397,8408133,1,,,,,,,,
550361,0,490041,8444702,1,,,,,,,,
599956,0,493044,8465663,1,,,,,,,,
599956,0,635665,8677838,1,,,,,,,,
550287,0,512397,8684963,1,,,,,,,,
596193,0,635665,8728337,1,,,,,,,,
550361,0,596193,8745034,1,,,,,,,,
596193,0,492777,8756900,1,,,,,,,,
490041,0,599956,8771959,1,,,,,,,,
550361,0,589639,8789089,1,,,,,,,,
512397,0,550287,8811852,1,,,,,,,,
550287,0,512397,8890301,1,,,,,,,,
623295,0,550361,8894109,1,,,,,,,,
599956,0,640464,8904016,1,,,,,,,,
568093,0,632150,8962019,1,,,,,,,,
599956,0,570411,8994500,1,,,,,,,,
596193,0,492777,9012009,1,,,,,,,,
568093,0,616050,9076579,1,,,,,,,,
623295,0,635665,9094353,1,,,,,,,,
623295,0,589639,9145435,1,,,,,,,,
589639,0,550361,9150468,1,,,,,,,,
568093,0,635665,9161797,1,,,,,,,,
623295,0,596193,9162596,1,,,,,,,,
599956,0,640464,9189819,1,,,,,,,,
599956,0,490041,9328701,1,,,,,,,,
623295,0,550361,9335884,1,,,,,,,,
623295,0,570411,9341506,1,,,,,,,,
599956,0,623295,9369606,1,,,,,,,,
623295,0,640464,9392429,1,,,,,,,,
596193,0,640464,9409103,1,,,,,,,,
623295,0,570411,9533579,1,,,,,,,,
599956,0,550361,9594811,1,,,,,,,,
599956,0,490041,9634710,1,,,,,,,,
599956,0,570411,9645937,1,,,,,,,,
568093,0,632150,9743545,1,,,,,,,,
623295,0,490041,9810911,1,,,,,,,,
589639,0,490041,9843778,1,,,,,,,,
589639,0,490041,9889908,1,,,,,,,,
550361,0,493044,9893984,1,,,,,,,,
623295,0,570411,10018468,1,,,,,,,,
550361,0,599956,10112171,1,,,,,,,,
490041,0,493044,10125697,1,,,,,,,,
596193,0,493044,10196465,1,,,,,,,,
550361,0,623295,10204276,1,,,,,,,,
490041,0,492777,10222243,1,,,,,,,,
599956,0,635665,10372830,1,,,,,,,,
550361,0,640464,10380701,1,,,,,,,,
490041,0,493044,10392303,1,,,,,,,,
512397,0,550287,10409865,1,,,,,,,,
623295,0,550361,10526722,1,,,,,,,,
