Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
536906,0,569329,925206,1,,,,,,
483005,0,655963,1214644,1,,,,,,
601496,0,557269,1233608,1,,,,,,
584457,0,639642,2333783,1,,,,,,
516873,0,483005,2888446,1,,,,,,
492850,0,580798,2983830,1,,,,,,
536906,0,584457,3979471,1,,,,,,
544636,0,544636,5097789,1,,,,,,
580798,0,482012,5399751,1,,,,,,
546593,0,580798,5802122,1,,,,,,
536906,0,541907,5962332,1,,,,,,
464579,0,611572,6753983,1,,,,,,
584457,0,601496,6765740,1,,,,,,
584457,0,639642,6834450,1,,,,,,
636721,0,546593,7373660,1,,,,,,
536906,0,585606,8143055,1,,,,,,
579305,0,584457,8577969,1,,,,,,
566580,0,584457,8989733,1,,,,,,
557269,0,639642,9592069,1,,,,,,
536906,0,571369,10822678,1,,,,,,
464579,0,596726,11410310,1,,,,,,
546593,0,657526,12700843,1,,,,,,
636721,0,464579,12996152,1,,,,,,
639642,0,557269,13333142,1,,,,,,
639642,0,557269,13924472,1,,,,,,
464579,0,459726,14434570,1,,,,,,
639642,0,557269,15489015,1,,,,,,
536906,0,483005,16175332,1,,,,,,
557269,0,601496,16848023,1,,,,,,
655963,0,579305,17214748,1,,,,,,
636721,0,492850,17810319,1,,,,,,
579305,0,584457,18419436,1,,,,,,
492850,0,464579,19217486,1,,,,,,
541907,0,628320,19810824,1,,,,,,
464579,0,588172,20483291,1,,,,,,
585606,0,516873,20737235,1,,,,,,
580798,0,588172,22137620,1,,,,,,
569329,0,588172,22225957,1,,,,,,
569329,0,636721,22325784,1,,,,,,
464579,0,623468,24036025,1,,,,,,
588172,0,636721,24118217,1,,,,,,
579305,0,639642,24195600,1,,,,,,
639642,0,639642,25753347,1,,,,,,
464579,0,536906,26706183,1,,,,,,
639642,0,655963,30173088,1,,,,,,
628320,1,557269,186326,1,4,4,0.224078,-163.624,2.40053,-161.288
546593,1,492850,211842,1,0,3,32.2146,-42.6609,-24.9904,-111.346
639642,1,639642,1648114,1,5,5,21.5434,154.279,21.5434,154.279
557269,1,544636,1821416,1,4,3,2.40053,-161.288,-23.8755,-111.541
579305,1,544636,1993324,1,0,3,39.8886,-41.778,-23.8755,-111.541
569329,1,482012,4426243,1,0,3,28.7426,-41.4508,-24.5756,-110.945
536906,1,492850,4618802,1,5,3,22.429,154.859,-24.9904,-111.346
546593,1,588172,6834265,1,0,4,32.2146,-42.6609,3.00486,-159.23
579305,1,639642,6849146,1,0,5,39.8886,-41.778,21.5434,154.279
536906,1,516873,7396962,1,5,2,22.429,154.859,-22.066,93.129
464579,1,580237,8830805,1,0,1,33.7833,-45.4927,-32.7065,-10.3259
657526,1,536906,9720039,1,1,5,-25.7329,-14.9697,22.429,154.859
536906,1,579305,10144850,1,5,0,22.429,154.859,39.8886,-41.778
536906,1,628320,10813210,1,5,4,22.429,154.859,0.224078,-163.624
