person,Household,Living,Personal,Healthcare,Leisure,Donations,Substances,Income,Transportation,Education,Telephone
477657,835.36,2448.3900000000003,1376.29,0.0,0.17,694.99,218.20999999999998,3562.94,2123.92,0.0,0.0
483784,33144.159999999996,23757.47,86426.98999999999,31733.8,6670.34,9867.57,983.85,441206.0,0.0,18663.5,18354.9
524153,6214.150000000001,17865.61,11445.36,0.0,11.03,5069.42,1577.87,23069.8,17503.1,0.0,0.0
530990,2336.3900000000003,4843.860000000001,10081.41,0.0,0.0,937.99,398.92,21534.1,7510.12,0.0,749.67
549840,3744.29,2378.34,5578.52,0.0,345.49,762.06,428.90999999999997,10144.0,4156.52,2987.84,0.0
561819,4962.74,2685.37,2809.29,0.0,922.76,982.87,109.98,11074.4,2497.95,366.28,0.0
573137,1207.6399999999999,4864.82,3862.88,0.0,0.0,625.06,627.51,11488.3,4835.03,83.46,53.93
594308,4575.27,1317.16,11097.939999999999,2240.53,2959.18,4696.84,487.49,33720.8,6971.99,0.0,247.67
619322,5940.4400000000005,2148.55,11751.75,0.0,112.12,521.92,507.56,25157.9,0.0,83.88,534.96
631903,2540.48,6921.88,6504.46,0.0,3150.7199999999993,355.59,546.88,23118.1,5123.35,0.0,529.93
464579,11757.78,13204.920000000002,16362.3,0.0,5786.71,1840.03,1574.64,20352.5,5627.55,1895.87,0.0
477374,2028.45,1779.0300000000002,4538.639999999999,0.0,962.72,1136.23,418.88,13703.4,333.32,0.0,24.56
482012,5363.240000000001,6392.1,5977.629999999999,0.0,41.22,133.42,283.45,18450.2,6672.05,988.82,512.19
483005,3028.6800000000003,6307.9,2575.42,0.0,147.51,138.96,577.22,4521.72,1337.98,2077.39,576.65
492850,2683.69,4548.53,4548.11,500.25,480.84000000000003,645.83,49.18,19821.5,10152.6,0.0,512.35
516873,9126.61,41396.799999999996,104029.81,0.0,9585.05,0.0,1483.5900000000001,67163.2,10798.3,4771.52,3966.64
536906,1720.1,3006.31,1788.4299999999998,0.0,351.2,115.42,173.56,2614.97,0.0,3283.68,0.0
541907,811.2900000000001,3865.4399999999996,2033.55,0.0,332.15,823.28,3.66,7219.68,0.0,0.0,371.91
544636,2664.84,7651.44,22201.410000000003,0.0,1901.74,4283.9400000000005,805.86,38582.0,1166.13,1345.64,266.98
546593,6729.7,14400.97,12549.02,0.0,0.0,3156.48,667.15,7720.52,0.0,5961.09,1259.95
557269,1169.87,2472.53,1528.32,730.33,592.91,326.47,49.47,4724.3,0.0,0.0,226.22
566580,715.74,4112.69,1295.4499999999998,0.0,2275.25,19.13,236.14,3158.36,3687.2,1649.44,0.0
569329,4065.0299999999997,6053.02,8064.36,0.0,2.39,1219.3200000000002,775.94,9478.52,14649.5,2970.54,1021.95
571369,12609.449999999999,16495.53,45441.229999999996,0.0,1469.8,11889.33,2326.41,141744.0,39565.6,1752.47,0.0
579305,7689.490000000001,25320.01,6247.67,0.0,3239.47,5215.950000000001,709.81,27376.1,17251.3,0.0,756.21
580798,1646.6499999999999,1015.09,4460.61,0.0,17.58,792.79,48.73,8773.28,4659.92,1975.82,262.83
584457,2029.1299999999999,2796.4800000000005,4016.5299999999997,0.0,1409.32,358.09,445.19000000000005,4963.3,2645.89,0.0,53.76
585606,4737.41,6566.63,2562.5,0.0,67.06,1175.29,25.63,3906.88,6110.68,0.0,0.0
588172,723.5699999999999,2488.96,1502.04,0.0,720.65,450.54,187.26,4410.78,0.0,413.23,0.0
601496,2338.0600000000004,6479.129999999999,3697.01,0.0,2014.3700000000001,331.23,430.54,8395.12,1817.39,468.27,391.11
628320,1725.6100000000001,2049.15,3866.7400000000002,1444.23,1005.9100000000001,1333.81,361.43,10065.5,1687.09,597.67,430.79
