person,Household,Living,Personal,Healthcare,Leisure,Donations,Substances,Income,Transportation,Education,Telephone
463777,2406.38,7202.03,4182.49,1823.5,1561.97,919.4300000000001,193.02,7392.6,2870.09,4864.11,316.86
464459,6840.129999999999,8929.14,7872.08,0.0,2548.3,4750.03,534.04,51492.7,6587.65,3184.21,0.0
474199,1356.47,2284.3900000000003,696.31,0.0,134.02,871.17,619.57,7508.97,3106.61,134.4,739.24
475130,2759.38,2845.87,2692.6899999999996,0.0,905.9100000000001,2211.81,296.73,10098.5,0.0,48.06,606.11
490041,10121.93,11099.55,5993.95,3164.62,6736.549999999999,0.0,190.9,9945.27,989.2,0.0,0.0
492286,4841.71,15519.359999999999,41699.02,0.0,5683.14,5061.07,883.83,69256.8,39657.7,0.0,0.0
492777,2766.48,6567.46,4175.67,0.0,146.65,0.0,124.26,9732.82,6491.57,0.0,185.63
493044,5434.74,9642.23,5012.35,822.4,75.77,1412.76,377.6,18919.4,7441.46,0.0,130.79
502591,4184.5599999999995,11625.63,18098.81,4874.08,484.73,2624.79,768.82,54333.1,0.0,1369.2,0.0
505722,31152.05,70194.97,98787.12,0.0,0.0,18777.31,238.75,900735.0,0.0,0.0,3425.98
512397,9461.380000000001,13419.74,9590.8,4200.84,4530.0199999999995,6308.05,1462.45,32518.9,11068.6,739.49,0.0
517273,9432.69,44834.42,30635.47,0.0,2211.7799999999997,11673.26,461.18,121149.0,14630.5,8669.64,286.56
529922,3398.53,13949.71,13489.84,1056.71,809.55,2047.56,233.11,47106.5,9216.46,920.72,481.91
530528,5440.55,11412.02,8712.6,10454.0,1139.05,1273.93,626.25,22471.7,0.0,5401.11,1055.24
533140,3931.9300000000003,4464.53,2849.77,0.0,85.16,235.04,96.46,14701.4,0.0,530.6,0.0
548513,6987.23,15804.300000000001,4403.23,7279.05,60.39,6505.66,706.38,8328.29,0.0,0.0,479.26
550361,2338.9900000000002,8297.1,4878.11,0.0,246.19,820.04,114.69,12586.9,3691.55,0.0,382.99
554431,9377.73,16336.48,18317.99,0.0,2210.44,3397.81,477.21,25798.3,8023.05,0.0,507.66
566342,7341.89,8451.47,2527.2,0.0,1105.25,0.0,239.28,11191.5,4154.76,1673.49,0.0
568093,3440.45,10758.13,7787.869999999999,0.0,0.0,3047.35,423.63,10786.0,0.0,5152.55,276.35
569820,3528.31,24127.7,80579.83,0.0,4232.360000000001,4578.36,360.64,202871.0,7133.86,0.0,2682.75
570411,9248.3,24857.74,31709.83,5688.59,578.66,3636.03,574.26,76722.1,5599.51,1689.51,1317.79
575704,7429.03,14058.22,4916.62,0.0,2107.1600000000003,5209.87,749.74,31934.9,0.0,0.0,693.04
575859,3482.2999999999997,2831.5299999999997,2204.89,0.0,976.38,3742.47,132.1,3304.77,9070.65,0.0,779.37
576641,1618.43,1841.48,2252.6099999999997,0.0,558.95,878.76,57.7,2326.88,367.71,0.0,480.73
589639,26455.53,73670.31,312427.24,12000.0,922.08,8653.46,1570.79,647030.0,22255.4,59222.4,0.0
591682,6204.87,11921.389999999998,7034.719999999999,986.71,2053.41,2019.74,1720.77,25608.4,4091.49,0.0,220.8
592414,5701.03,8440.17,16487.13,0.0,4817.29,2658.66,576.89,49976.2,0.0,1441.09,483.1
596193,1988.89,8867.66,4614.71,0.0,85.91,0.0,25.88,7055.78,740.74,5715.91,114.24
599057,8390.68,18831.39,16801.690000000002,1584.35,1013.67,2406.55,50.84,26766.3,0.0,121.9,0.0
599063,5011.9,9460.78,8981.93,2061.29,2439.21,75.86,54.66,19798.9,0.0,554.65,0.0
599956,16084.169999999998,30059.350000000006,25897.42,11521.2,2612.14,4527.75,1287.62,87411.8,33836.2,573.69,0.0
608827,17523.719999999998,48182.979999999996,43697.23999999999,0.0,0.0,1006.36,456.71,143858.0,14153.4,0.0,385.87
616050,2697.78,14855.33,20649.57,0.0,1136.81,5550.12,142.08,43606.4,7832.08,0.0,0.0
622296,2511.94,9439.34,11803.49,3331.5,164.15,2215.35,170.12,36123.4,965.86,750.85,0.0
623295,3118.67,3834.05,3020.54,0.0,1906.6,1269.76,182.71,11546.5,0.0,325.56,0.0
629717,1874.0000000000002,9847.58,7200.02,0.0,654.51,1091.21,73.2,21204.9,4168.46,1563.82,245.42
632150,2750.63,9070.34,5661.9,0.0,1608.67,2485.29,303.25,28528.2,0.0,0.0,915.47
635665,7454.450000000001,4839.94,13593.76,0.0,0.0,1388.78,236.53,30019.9,34041.9,3826.62,698.17
635706,13809.96,41871.46,313410.91,0.0,419.71,23825.6,707.75,619963.0,12879.0,0.0,6537.83
636961,10256.71,6840.27,9032.56,0.0,3774.46,917.55,884.99,5807.39,0.0,450.03,76.17
640464,4733.740000000001,9663.54,8657.71,0.0,1325.86,2478.43,493.08,6292.61,0.0,7905.27,129.52
654763,2893.2,11962.849999999999,4195.13,0.0,0.0,2642.05,399.58,22959.0,568.9,0.0,169.61
654981,3437.9599999999996,1269.47,4525.360000000001,0.0,2933.93,1291.34,558.05,10753.8,0.0,5306.54,386.83
