person,Household Expenses,Living Expenses,Personal Expenses,Healthcare,Entertainment and Leisure,Gifts and Donations,Substances,Income,Transportation,Education,Telephone services
477657,835.36,2448.3900000000003,1376.29,0.0,0.17,694.99,218.20999999999998,3562.94,2123.92,0.0,0.0
483784,33144.159999999996,23757.47,86426.98999999999,31733.8,6670.34,9867.57,983.85,441206.0,0.0,18663.5,18354.9
524153,6214.150000000001,17865.61,11445.36,0.0,11.03,5069.42,1577.87,23069.8,17503.1,0.0,0.0
530990,2336.3900000000003,4843.860000000001,10081.41,0.0,0.0,937.99,398.92,21534.1,7510.12,0.0,749.67
549840,3744.29,2378.34,5578.52,0.0,345.49,762.06,428.90999999999997,10144.0,4156.52,2987.84,0.0
561819,4962.74,2685.37,2809.29,0.0,922.76,982.87,109.98,11074.4,2497.95,366.28,0.0
573137,1207.6399999999999,4864.82,3862.88,0.0,0.0,625.06,627.51,11488.3,4835.03,83.46,53.93
594308,4575.27,1317.16,11097.939999999999,2240.53,2959.18,4696.84,487.49,33720.8,6971.99,0.0,247.67
619322,5940.4400000000005,2148.55,11751.75,0.0,112.12,521.92,507.56,25157.9,0.0,83.88,534.96
631903,2540.48,6921.88,6504.46,0.0,3150.7199999999993,355.59,546.88,23118.1,5123.35,0.0,529.93
